season,association_code,country,competition,competition_level,team,league_size,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_game,goal_difference_per_game,ppg_percentile,percentile_basis,table_basis,source,source_ref,source_path,source_git_blob_sha,source_file_sha256
2021-22,ENG,England,Premier League,1,Manchester City FC,20,38,29,6,3,99,26,73,93,2.4473684210526314,1.9210526315789473,1,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Liverpool FC,20,38,28,8,2,94,26,68,92,2.4210526315789473,1.7894736842105263,0.9473684210526315,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Chelsea FC,20,38,21,11,6,76,33,43,74,1.9473684210526316,1.131578947368421,0.8947368421052632,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Tottenham Hotspur FC,20,38,22,5,11,69,40,29,71,1.868421052631579,0.7631578947368421,0.8421052631578947,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Arsenal FC,20,38,22,3,13,61,48,13,69,1.8157894736842106,0.34210526315789475,0.7894736842105263,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Manchester United FC,20,38,16,10,12,57,57,0,58,1.5263157894736843,0,0.7368421052631579,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,West Ham United FC,20,38,16,8,14,60,51,9,56,1.4736842105263157,0.23684210526315788,0.6842105263157895,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Leicester City FC,20,38,14,10,14,62,59,3,52,1.368421052631579,0.07894736842105263,0.631578947368421,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Brighton & Hove Albion FC,20,38,12,15,11,42,44,-2,51,1.3421052631578947,-0.05263157894736842,0.5526315789473685,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
2021-22,ENG,England,Premier League,1,Wolverhampton Wanderers FC,20,38,15,6,17,38,43,-5,51,1.3421052631578947,-0.13157894736842105,0.5526315789473685,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2021-22/1-premierleague.txt,2021-22/1-premierleague.txt,d7e11e9134bfd03a7e847848f50029473bf9af9a,592df232fbc7c2f36ec3e643eef608f77fcbf7d8da0706c94c99248d60b932b3
