snapshot_year,preseason_for,rank,source_rank_raw,association,association_code,window_s1,window_s2,window_s3,window_s4,window_s5,coefficient_5y,participating_teams_last_year,source,source_ref
2021,2021/22,1,1,England,ENG,14.928,20.071,22.642,18.571,24.357,100.569,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,2,2,Spain,ESP,20.142,19.714,19.571,18.928,19.5,97.855,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,3,3,Italy,ITA,14.25,17.333,12.642,14.928,16.285,75.438,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,4,4,Germany,GER,14.571,9.857,15.214,18.714,15.214,73.57,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,5,5,France,FRA,14.416,11.5,10.583,11.666,7.916,56.081,6,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,6,6,Portugal,POR,8.083,9.666,10.9,10.3,9.6,48.549,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,7,7,Netherlands,NED,9.1,2.9,8.6,9.4,9.2,39.2,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,8,8,Russia,RUS,9.2,12.6,7.583,4.666,4.333,38.382,6,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,9,9,Belgium,BEL,12.5,2.6,7.8,7.6,6,36.5,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,10,10,Austria,AUT,7.375,9.75,6.2,5.8,6.7,35.825,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,11,11,Scotland,SCO,4.375,4,6.75,9.75,8.5,33.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,12,12,Ukraine,UKR,5.5,8,5.6,7.2,6.8,33.1,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,13,13,Türkiye,TUR,9.7,6.8,5.5,5,3.1,30.1,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,14,14,Denmark,DEN,8.5,5.25,4.875,5.125,4.125,27.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,15,15,Cyprus,CYP,5.5,7,6.125,5.125,4,27.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,16,16,Serbia,SRB,2.875,6.375,6,6,5.5,26.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,17,17,Czechia,CZE,5.5,5.5,6.5,2.5,6.6,26.6,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,18,18,Croatia,CRO,5.125,5.125,5.75,4.375,5.9,26.275,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,19,19,Switzerland,SUI,4.3,6.5,3.9,6.4,5.125,26.225,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,20,20,Greece,GRE,5.8,5.1,5.1,4.9,5.1,26,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,21,21,Israel,ISR,6.75,5.625,2.625,2.375,7,24.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,22,22,Norway,NOR,1.375,4,5.375,3.75,6.5,21,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,23,23,Sweden,SWE,2.75,5.375,4.125,5.75,2.5,20.5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,24,24,Bulgaria,BUL,4.25,4,4,4.125,4,20.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,25,25,Romania,ROU,3.3,2.9,2.375,5.875,3.75,18.2,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,26,26,Azerbaijan,AZE,4.25,4.375,2.375,3.375,2.5,16.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,27,27,Kazakhstan,KAZ,2.75,4.25,4.25,3.375,1,15.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,28,28,Hungary,HUN,1.875,1.625,3.25,4.5,4.25,15.5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,29,29,Belarus,BLR,3,3.25,5,2.5,1.5,15.25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,30,30,Poland,POL,3.875,2.875,2.25,2.125,4,15.125,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,31,31,Slovenia,SVN,2.25,4.625,3.125,2,2.25,14.25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,32,32,Slovakia,SVK,2.125,1.875,5.125,3,1.5,13.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,33,33,Liechtenstein,LIE,2.5,2,1.5,2.5,0.5,9,1,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,34,34,Lithuania,LTU,0.5,2.375,2.625,1.625,1.625,8.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,35,35,Luxembourg,LUX,0.75,0.875,2.625,3,1,8.25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,36,36,Bosnia-Herzegovina,BIH,0.5,1.375,2,1.5,2.625,8,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,37,37,Ireland,IRL,2.625,1.125,1,1.25,1.875,7.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,38,38,North Macedonia,MKD,1.25,3.125,1,0.5,1.75,7.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
