snapshot_year,preseason_for,rank,source_rank_raw,club,club_key,association_code,window_s1,window_s2,window_s3,window_s4,window_s5,club_points_5y,association_floor_20pct,coefficient_5y,uses_association_floor,source,source_ref
2021,2021/22,1,1,Bayern München,bayern münchen,GER,22,29,20,36,27,134,14.714,134,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,2,2,Real Madrid,real madrid,ESP,33,32,19,17,26,127,19.571,127,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,3,3,Manchester City,manchester city,ENG,18,22,25,25,35,125,20.113,125,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,4,4,FC Barcelona,fc barcelona,ESP,23,25,30,24,20,122,19.571,122,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,5,5,Juventus,juventus,ITA,33,23,21,22,21,120,15.087,120,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,6,6,Atlético Madrid,atlético madrid,ESP,29,28,20,22,16,115,19.571,115,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,7,7,Manchester United,manchester united,ENG,26,20,19,22,26,113,20.113,113,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,7,,Paris Saint-Germain,paris saint-germain,FRA,20,19,19,31,24,113,11.216,113,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,9,9,Liverpool,liverpool,ENG,,30,29,18,24,101,20.113,101,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,10,10,Arsenal,arsenal,ENG,19,21,26,10,23,99,20.113,99,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,11,11,Chelsea,chelsea,ENG,,18,30,17,33,98,20.113,98,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,11,,Sevilla,sevilla,ESP,19,21,13,26,19,98,19.571,98,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,13,13,AS Roma,as roma,ITA,13,25,17,11,24,90,15.087,90,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,13,,Borussia Dortmund,borussia dortmund,GER,22,10,18,18,22,90,14.714,90,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,15,15,Tottenham Hotspur,tottenham hotspur,ENG,10,21,26,16,15,88,20.113,88,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,16,16,FC Porto,fc porto,POR,17,17,23,7,23,87,9.709,87,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,17,17,Ajax,ajax,NED,22,1.5,27,13,19,82.5,7.84,82.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,18,18,Shakhtar Donetsk,shakhtar donetsk,UKR,14,19,10,22,14,79,6.62,79,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,19,19,Olympique Lyon,olympique lyon,FRA,22,14,17,23,,76,11.216,76,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,20,20,Napoli,napoli,ITA,17,10,18,19,10,74,15.087,74,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,21,21,RB Leipzig,rb leipzig,GER,,17,5,27,17,66,14.714,66,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,22,22,Villarreal,villarreal,ESP,9,8,16,,30,63,19.571,63,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,23,23,FC Salzburg,fc salzburg,AUT,5,21,16,10,7,59,7.165,59,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,24,24,Benfica,benfica,POR,17,4,17,10,10,58,9.709,58,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,25,25,Bayer Leverkusen,bayer leverkusen,GER,18,,11,18,10,57,14.714,57,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,26,26,Internazionale,internazionale,ITA,4,,15,25,9,53,15.087,53,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,27,27,Atalanta,atalanta,ITA,,11,2.5,20,17,50.5,15.087,50.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,28,28,Zenit St. Petersburg,zenit st. petersburg,RUS,12,14,10,9,5,50,7.676,50,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,29,,Besiktas,besiktas,TUR,20,19,5,3,2,49,6.02,49,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,29,29,FC Basel,fc basel,SUI,6,19,2.5,19,2.5,49,5.245,49,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,31,31,Dinamo Kiev,dinamo kiev,UKR,8,12,11,6,10,47,6.62,47,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,32,32,Sporting CP Lisbon,sporting cp lisbon,POR,6,17,10,10,2.5,45.5,9.709,45.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,33,33,Dinamo Zagreb,dinamo zagreb,CRO,4,1.5,14,8,17,44.5,5.255,44.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,34,34,Lazio,lazio,ITA,,17,6,4,17,44,15.087,44,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,35,,FC København,fc københavn,DEN,16,7,4,14,2.5,43.5,5.575,43.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,35,35,Slavia Praha,slavia praha,CZE,1.5,6,14,6,16,43.5,5.32,43.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,37,37,Olympiakos Piraeus,olympiakos piraeus,GRE,10,5,8,10,10,43,5.2,43,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,38,38,CSKA Moscow,cska moscow,RUS,7,17,9,4,3,40,7.676,40,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,38,,Valencia,valencia,ESP,,,23,17,,40,19.571,40,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,40,40,AS Monaco,as monaco,FRA,25,6,5,,,36,11.216,36,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,41,41,Club Brugge,club brugge,BEL,4,1.5,11,8,11,35.5,7.3,35.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,42,,Schalke 04,schalke 04,GER,18,,17,,,35,14.714,35,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,42,,Sporting Braga,sporting braga,POR,5,9,2,10,9,35,9.709,35,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,42,42,Young Boys,young boys,SUI,6,5,7,6,11,35,5.245,35,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,45,45,FK Krasnodar,fk krasnodar,RUS,8,1.5,11,6,8,34.5,7.676,34.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,46,46,Celtic,celtic,SCO,7,8,6,10,3,34,6.675,34,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,47,47,Viktoria Plzen,viktoria plzen,CZE,5,13,11,2,2.5,33.5,5.32,33.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,48,48,Borussia Mönchengladbach,borussia mönchengladbach,GER,12,,,6,15,33,14.714,33,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,48,,Eintracht Frankfurt,eintracht frankfurt,GER,,,24,9,,33,14.714,33,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,50,50,Red Star Belgrade,red star belgrade,SRB,1.5,8,7,6,10,32.5,5.35,32.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,51,51,Leicester City,leicester city,ENG,22,,,,10,32,20.113,32,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,52,52,Glasgow Rangers,glasgow rangers,SCO,,0.25,5,11,15,31.25,6.675,31.25,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,53,53,AC Milan,ac milan,ITA,,12,7,,12,31,15.087,31,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,53,,Lokomotiv Moscow,lokomotiv moscow,RUS,,12,6,6,7,31,7.676,31,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,55,55,Racing Genk,racing genk,BEL,16,,9,5,,30,7.3,30,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,56,56,PSV Eindhoven,psv eindhoven,NED,6,1,6,6,10,29,7.84,29,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,57,,APOEL Nicosia,apoel nicosia,CYP,10,6,2.5,7,2.5,28,5.55,28,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,57,,Ludogorets Razgrad,ludogorets razgrad,BUL,8,7,4,6,3,28,4.075,28,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,57,57,Olympique Marseille,olympique marseille,FRA,,19,3,,6,28,11.216,28,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,60,,AA Gent,aa gent,BEL,10,1,2.5,10,3,26.5,7.3,26.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,60,60,Istanbul Basaksehir,istanbul basaksehir,TUR,1.5,6,2,11,6,26.5,6.02,26.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,62,62,Anderlecht,anderlecht,BEL,16,6,3,,,25,7.3,25,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,63,63,1899 Hoffenheim,1899 hoffenheim,GER,,4,7,,12,23,14.714,23,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,64,64,FK Astana,fk astana,KAZ,4,8,6,3,1.5,22.5,3.125,22.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,65,65,Standard Liège,standard liège,BEL,6,,7,6,3,22,7.3,22,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,66,66,AZ Alkmaar,az alkmaar,NED,6,,1.5,8,6,21.5,7.84,21.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,67,,FCSB,fcsb,ROU,5,9,2.5,2.5,2,21,3.64,21,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,67,,Feyenoord,feyenoord,NED,5,6,2,4,4,21,7.84,21,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,67,67,LASK,lask,AUT,,,2,12,7,21,7.165,21,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,67,,Qarabag FK,qarabag fk,AZE,5,6,3,4,3,21,3.375,21,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,71,71,Maccabi Tel-Aviv,maccabi tel-aviv,ISR,5,3,2.5,2,8,20.5,4.875,20.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,72,72,Wolverhampton Wanderers,wolverhampton wanderers,ENG,,,,16,,16,20.113,20.113,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,72,,Southampton FC,southampton fc,ENG,6,,,,,6,20.113,20.113,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,72,,Everton,everton,ENG,,3,,,,3,20.113,20.113,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,72,,Burnley FC,burnley fc,ENG,,,2.5,,,2.5,20.113,20.113,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,72,,West Ham United,west ham united,ENG,1.5,,,,,1.5,20.113,20.113,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,77,77,PAOK Thessaloniki,paok thessaloniki,GRE,8,1.5,3,2.5,5,20,5.2,20,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,78,,Athletic Bilbao,athletic bilbao,ESP,9,10,,,,19,19.571,19.571,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,78,,Celta de Vigo,celta de vigo,ESP,19,,,,,19,19.571,19.571,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,78,,Real Sociedad,real sociedad,ESP,,9,,,8,17,19.571,19.571,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,78,78,Granada CF,granada cf,ESP,,,,,13,13,19.571,19.571,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,78,,Getafe,getafe,ESP,,,,11,,11,19.571,19.571,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,78,,Espanyol,espanyol,ESP,,,,10,,10,19.571,19.571,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,78,,Real Betis,real betis,ESP,,,10,,,10,19.571,19.571,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,85,85,AEK Athens,aek athens,GRE,1,9,4,2.5,3,19.5,5.2,19.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,85,,Fenerbahçe,fenerbahçe,TUR,10,1.5,8,,,19.5,6.02,19.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,87,87,Stade Rennais,stade rennais,FRA,,,11,3,5,19,11.216,19,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,88,88,Malmö FF,malmö ff,SWE,,1,7,8,2.5,18.5,4.1,18.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,88,,Spartak Moscow,spartak moscow,RUS,1,11,4,2.5,,18.5,7.676,18.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,90,90,Partizan Belgrade,partizan belgrade,SRB,0.5,7,2.5,6,2,18,5.35,18,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,91,,BATE Borisov,bate borisov,BLR,1.5,4,8,2.5,1.5,17.5,3.05,17.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,91,91,Hapoel Beer-Sheva,hapoel beer-sheva,ISR,6,3,2,2.5,4,17.5,4.875,17.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,91,,Sparta Praha,sparta praha,CZE,9,1,1.5,2,4,17.5,5.32,17.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,94,,Galatasaray,galatasaray,TUR,,0.5,8,6,2.5,17,6.02,17,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,94,94,Molde FK,molde fk,NOR,,,2.5,2.5,12,17,4.2,17,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,94,,Rapid Wien,rapid wien,AUT,5,,7,,5,17,7.165,17,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,97,97,CFR Cluj,cfr cluj,ROU,,,2.5,10,4,16.5,3.64,16.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,97,,Legia Warsaw,legia warsaw,POL,8,1.5,2,2.5,2.5,16.5,3.025,16.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,99,,Fiorentina,fiorentina,ITA,11,,,,,11,15.087,15.087,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,99,,Sassuolo,sassuolo,ITA,4,,,,,4,15.087,15.087,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,99,99,Torino,torino,ITA,,,,2.5,,2.5,15.087,15.087,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,102,102,Zorya Luhansk,zorya luhansk,UKR,2,4,2.5,2.5,4,15,6.62,15,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,103,103,VfL Wolfsburg,vfl wolfsburg,GER,,,,12,2.5,14.5,14.714,14.714,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,103,,FSV Mainz 05,fsv mainz 05,GER,7,,,,,7,14.714,14.714,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,103,,Hertha BSC,hertha bsc,GER,1,4,,,,5,14.714,14.714,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,103,,1.FC Köln,1.fc köln,GER,,4,,,,4,14.714,14.714,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,103,,SC Freiburg,sc freiburg,GER,,1,,,,1,14.714,14.714,true,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,108,108,Sheriff Tiraspol,sheriff tiraspol,MDA,1,7,2.5,2,2,14.5,1.375,14.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,109,,FK Rostov,fk rostov,RUS,12,,,,2,14,7.676,14,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,109,109,Lille OSC,lille osc,FRA,1,,,5,8,14,11.216,14,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,109,,NK Maribor,nk maribor,SVN,1.5,7,2,2.5,1,14,2.85,14,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,109,,Rosenborg BK,rosenborg bk,NOR,1.5,4,3,3,2.5,14,4.2,14,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,113,,Apollon Limassol,apollon limassol,CYP,1,3,5,2.5,2,13.5,5.55,13.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,113,113,FC Midtjylland,fc midtjylland,DEN,1.5,1.5,2.5,2,6,13.5,5.575,13.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
2021,2021/22,113,,Ferencváros,ferencváros,HUN,1,0.5,1,6,5,13.5,3.1,13.5,false,Kassiesa / public UEFA coefficient tables,https://kassiesa.net/uefa/data/method5/trank2021.html
