event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2022-00001,2022/23,1014243,Vivaldo Semedo,10959,Udinese Primavera,410,Udinese Calcio,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-00002,2022/23,102470,Antonino Ragusa,1005,US Lecce,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2022-00003,2022/23,104597,Bram Nuytinck,410,Udinese Calcio,1038,UC Sampdoria,FREE_TRANSFER,free transfer,1,IN+OUT
TM-2022-00004,2022/23,111433,Frédéric Veseli,380,US Salernitana 1919,4171,Benevento Calcio,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2022-00005,2022/23,112465,Sérgio Oliveira,12,AS Roma,720,FC Porto,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,OUT
TM-2022-00006,2022/23,115763,Koray Günter,276,Hellas Verona,1038,UC Sampdoria,LOAN,Loan fee: €95k,1,IN+OUT
TM-2022-00007,2022/23,119031,Kaan Ayhan,6574,US Sassuolo,141,Galatasaray,LOAN,Loan fee: €400k,0,OUT
TM-2022-00008,2022/23,119115,Diego Falcinelli,1025,Bologna FC 1909,1385,Modena FC,FREE_TRANSFER,free transfer,0,OUT
TM-2022-00009,2022/23,122153,Paul Pogba,985,Manchester United,506,Juventus FC,FREE_TRANSFER,free transfer,0,IN
TM-2022-00010,2022/23,123261,Vlad Chiricheș,6574,US Sassuolo,2239,US Cremonese,PERMANENT_OR_OTHER_EXPLICIT,€2.00m,1,IN+OUT
TM-2022-00011,2022/23,123742,Gastón Ramírez,2919,AC Monza,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2022-00012,2022/23,126540,Samuel Umtiti,131,FC Barcelona,1005,US Lecce,LOAN,Loan fee: €500k,0,IN
TM-2022-00013,2022/23,126656,Faouzi Ghoulam,6195,SSC Napoli,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2022-00014,2022/23,126711,Kévin Malcuit,6195,SSC Napoli,868,MKE Ankaragücü,FREE_TRANSFER,free transfer,0,OUT
TM-2022-00015,2022/23,128223,Álvaro Morata,506,Juventus FC,13,Atlético de Madrid,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,OUT
TM-2022-00016,2022/23,12907,Alessio Cragno,1390,Cagliari Calcio,2919,AC Monza,LOAN,Loan fee: €400k,0,IN
TM-2022-00017,2022/23,129588,Dennis Praet,416,Torino FC,1003,Leicester City,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,OUT
TM-2022-00018,2022/23,130360,Simone Verdi,380,US Salernitana 1919,416,Torino FC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,1,IN+OUT
TM-2022-00019,2022/23,130360,Simone Verdi,416,Torino FC,276,Hellas Verona,LOAN,loan transfer,1,IN+OUT
TM-2022-00020,2022/23,130365,Alessandro Florenzi,12,AS Roma,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,€3.15m,1,IN+OUT
TM-2022-00021,2022/23,130365,Alessandro Florenzi,5,AC Milan,12,AS Roma,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,1,IN+OUT
TM-2022-00022,2022/23,130388,Antonio Santurro,410,Udinese Calcio,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2022-00023,2022/23,131075,Francesco Acerbi,398,SS Lazio,46,Inter Milan,LOAN,loan transfer,1,IN+OUT
TM-2022-00024,2022/23,131102,Jeison Murillo,940,Celta de Vigo,1038,UC Sampdoria,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-00025,2022/23,131731,Mehdi Bourabia,3522,Spezia Calcio,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,1,IN+OUT
TM-2022-00026,2022/23,131731,Mehdi Bourabia,6574,US Sassuolo,3522,Spezia Calcio,PERMANENT_OR_OTHER_EXPLICIT,€1.65m,1,IN+OUT
TM-2022-00027,2022/23,133964,Lorenzo Insigne,6195,SSC Napoli,11141,Toronto FC,FREE_TRANSFER,free transfer,0,OUT
TM-2022-00028,2022/23,134383,Tommaso Morosini,2919,AC Monza,74951,Sangiuliano City,LOAN,loan transfer,0,OUT
TM-2022-00029,2022/23,134383,Tommaso Morosini,5514,Calcio Lecco 1912,2919,AC Monza,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-00030,2022/23,134936,Jesé,515,Without Club,1038,UC Sampdoria,FREE_AGENT_OR_END_OF_CONTRACT,-,0,IN
TM-2022-00031,2022/23,134983,Andrea La Mantia,749,FC Empoli,2722,SPAL,LOAN,loan transfer,0,OUT
TM-2022-00032,2022/23,135208,Riza Durmisi,1244,CD Leganés,398,SS Lazio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 29/01/2023,0,IN
TM-2022-00033,2022/23,135208,Riza Durmisi,398,SS Lazio,1244,CD Leganés,LOAN,loan transfer,0,OUT
TM-2022-00034,2022/23,135208,Riza Durmisi,398,SS Lazio,648,CD Tenerife,LOAN,loan transfer,0,OUT
TM-2022-00035,2022/23,135208,Riza Durmisi,468,Sparta Rotterdam,398,SS Lazio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-00036,2022/23,136133,Andrea Schiavone,380,US Salernitana 1919,4554,FC Südtirol,FREE_TRANSFER,free transfer,0,OUT
TM-2022-00037,2022/23,136514,Charalabos Lykogiannis,1390,Cagliari Calcio,1025,Bologna FC 1909,FREE_TRANSFER,free transfer,0,IN
TM-2022-00038,2022/23,140757,Daniel Bessa,276,Hellas Verona,38040,Kalba FC,FREE_TRANSFER,free transfer,0,OUT
TM-2022-00039,2022/23,140804,Jordan Lukaku,2655,LR Vicenza,398,SS Lazio,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-00040,2022/23,140804,Jordan Lukaku,398,SS Lazio,4032,SD Ponferradina,FREE_TRANSFER,free transfer,0,OUT
TM-2022-00041,2022/23,143559,Matija Nastasić,430,ACF Fiorentina,237,RCD Mallorca,FREE_TRANSFER,free transfer,0,OUT
TM-2022-00042,2022/23,143812,Matías Vecino,46,Inter Milan,398,SS Lazio,FREE_TRANSFER,free transfer,1,IN+OUT
TM-2022-00043,2022/23,144143,Bartosz Bereszyński,1038,UC Sampdoria,6195,SSC Napoli,LOAN,loan transfer,1,IN+OUT
