season,season_start,movement,player_id,player_name,current_club_id,current_club,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,source
2026/27,2026,IN,433188,Curtis Jones,46,Inter Milan,31,Liverpool FC,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€30.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,483348,Djed Spence,46,Inter Milan,148,Tottenham Hotspur,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€30.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,780136,Aleksandar Stanković,46,Inter Milan,2282,Club Brugge KV,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€23.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,284730,Manuel Akanji,46,Inter Milan,281,Manchester City,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€15.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,197929,Ivan Provedel,46,Inter Milan,398,SS Lazio,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,€3.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,186590,John Stones,46,Inter Milan,281,Manchester City,46,Inter Milan,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,969192,Ebenezer Akinsanmiro,46,Inter Milan,4172,Pisa Sporting Club,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,915849,Yanis Massolin,46,Inter Milan,1385,Modena FC,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,543771,Kristjan Asllani,46,Inter Milan,114,Besiktas JK,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,731491,Franco Carboni,46,Inter Milan,130,Parma Calcio 1913,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,993645,Tomás Palacios,46,Inter Milan,288,Club Estudiantes de La Plata,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 31/12/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,394300,Davide Frattesi,46,Inter Milan,398,SS Lazio,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2027,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,787618,Valentín Carboni,46,Inter Milan,1444,Racing Club,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 31/12/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,353366,Benjamin Pavard,46,Inter Milan,244,Olympique Marseille,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,538918,Sebastiano Esposito,46,Inter Milan,1390,Cagliari Calcio,46,Inter Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,321528,Denzel Dumfries,46,Inter Milan,46,Inter Milan,418,Real Madrid,PERMANENT_OR_OTHER_EXPLICIT,€20.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,394300,Davide Frattesi,46,Inter Milan,46,Inter Milan,398,SS Lazio,LOAN,Loan fee: €5.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,538918,Sebastiano Esposito,46,Inter Milan,46,Inter Milan,1390,Cagliari Calcio,PERMANENT_OR_OTHER_EXPLICIT,€4.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,731491,Franco Carboni,46,Inter Milan,46,Inter Milan,130,Parma Calcio 1913,PERMANENT_OR_OTHER_EXPLICIT,€2.50m,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,543771,Kristjan Asllani,46,Inter Milan,46,Inter Milan,2524,Al-Jazira Club,LOAN,Loan fee: €2.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,42205,Yann Sommer,46,Inter Milan,46,Inter Milan,2282,Club Brugge KV,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,111196,Stefan de Vrij,46,Inter Milan,46,Inter Milan,265,Panathinaikos,FREE_TRANSFER,free transfer,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,915849,Yanis Massolin,46,Inter Milan,46,Inter Milan,1390,Cagliari Calcio,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,969192,Ebenezer Akinsanmiro,46,Inter Milan,46,Inter Milan,2919,AC Monza,LOAN,loan transfer,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,131075,Francesco Acerbi,46,Inter Milan,46,Inter Milan,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,54906,Matteo Darmian,46,Inter Milan,46,Inter Milan,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,TRANSFERMARKT_EXPANDED
2026/27,2026,OUT,284730,Manuel Akanji,46,Inter Milan,46,Inter Milan,281,Manchester City,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,610442,Rasmus Højlund,6195,SSC Napoli,985,Manchester United,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€44.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,830365,Alisson Santos,6195,SSC Napoli,336,Sporting CP,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€16.50m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,257474,Vanja Milinković-Savić,6195,SSC Napoli,416,Torino FC,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€6.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,463603,Benoît Badiashile,6195,SSC Napoli,631,Chelsea FC,6195,SSC Napoli,LOAN,Loan fee: €3.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,820635,Costantino Favasuli,6195,SSC Napoli,4097,US Catanzaro,6195,SSC Napoli,LOAN,Loan fee: €1.00m,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,1301666,Mattia Esposito,6195,SSC Napoli,10118,Sorrento 1945,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€700k,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,741539,Dinis Rodrigues,6195,SSC Napoli,321,FC Sion,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,€300k,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,989006,Christian Garofalo,6195,SSC Napoli,12819,Napoli Primavera,6195,SSC Napoli,PERMANENT_OR_OTHER_EXPLICIT,-,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,662261,Rafa Marín,6195,SSC Napoli,1050,Villarreal CF,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,936229,Emanuele Rao,6195,SSC Napoli,332,SSC Bari,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,885236,Lorenzo Russo,6195,SSC Napoli,45894,Guidonia Montecelio 1937 FC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,703240,Gennaro Iaccarino,6195,SSC Napoli,4255,SS Arezzo,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,513245,Jesper Lindstrøm,6195,SSC Napoli,82,VfL Wolfsburg,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,377042,Michael Folorunsho,6195,SSC Napoli,1390,Cagliari Calcio,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,433584,Alessio Zerbin,6195,SSC Napoli,2239,US Cremonese,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,724099,Claudio Turi,6195,SSC Napoli,22408,Altamura S.S.,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,468066,Jens Cajuste,6195,SSC Napoli,677,Ipswich Town,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,282388,Giovanni Simeone,6195,SSC Napoli,416,Torino FC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,704456,Nosa Edward Obaretin,6195,SSC Napoli,749,FC Empoli,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,397225,Alessandro Zanoli,6195,SSC Napoli,410,Udinese Calcio,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,724178,Luis Hasa,6195,SSC Napoli,4159,Carrarese Calcio 1908,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
2026/27,2026,IN,521407,Walid Cheddira,6195,SSC Napoli,1005,US Lecce,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2026,TRANSFERMARKT_EXPANDED
